的	de_dí_dì
浍	kuài_huì
眚	shěng
矜	jīn_qín_guān
洱	ěr
呸	pēi
蛆	qū
鸳	yuān
郇	xún_huán
拊	fǔ
啾	jiū
噙	qín
崆	kōng
瑕	xiá
锵	qiāng
烩	huì
揶	yé
潢	huáng_guāng
轼	shì
铠	kǎi
鬣	liè
掣	chè
嚎	háo
撅	juē_jué
沤	òu_ōu
滓	zǐ
偎	wēi
阖	hé
缈	miǎo
篦	bì
缄	jiān
臼	jiù
蔫	niān
揄	yú
悴	cuì
榛	zhēn
轶	yì
砥	dǐ
邯	hán
陲	chuí
狒	fèi
汨	mì
辍	chuò
抉	jué
瞳	tóng
俳	pái
凫	fú
吡	pǐ_bǐ
狎	xiá
涮	shuàn
缜	zhěn
恚	huì
碣	jié_yà
稞	kē
沏	qī
蚤	zǎo
裱	biǎo
鹘	gǔ_hú
疡	yáng
辕	yuán
耷	dā
湮	yān_yīn
遒	qiú
瓒	zàn
斐	fěi_fēi
砜	fēng
鸾	luán
褛	lǚ
荤	hūn_xūn
罔	wǎng
偃	yǎn
诂	gǔ
赓	gēng
惆	chóu
曷	hé
煦	xù
跷	qiāo
癸	guǐ
粳	jīng
汐	xī
盂	yú
剞	jī
倜	tì
莞	guān_guǎn_wǎn
泓	hóng
缑	gōu
犄	jī
陨	yǔn
阱	jǐng
悖	bèi
炜	wěi
焯	zhuō_chāo_chuò_zhuó
畈	fàn
螃	páng
簪	zān
匮	kuì_guì
俅	qiú
僬	jiāo_jiǎo_jiào
扪	mén
喔	ō_wō_wo
饨	tún
滟	yàn
溏	táng
妩	wǔ
珩	héng
楫	jí
鹄	hú_gǔ_hè
褴	lán
耠	huō
筲	shāo
鲦	tiáo
赁	lìn
刈	yì
倏	shū
谪	zhé
薅	hāo
饴	yí
馄	hún
迳	jìng
珑	lóng
铡	zhá
俣	yǔ
岷	mín
憔	qiáo
窠	kē
綦	qí
鳖	biē
囱	cōng_chuāng
胰	yí
圻	qí_yín
垧	shǎng
玷	diàn
簌	sù
鲞	xiǎng
砒	pī
俚	lǐ
圳	zhèn
骞	qiān
祛	qū
矸	gān
鹞	yào
癫	diān
醪	láo
蹉	cuō
蹋	tà
邺	yè_qiū
猗	yī_yǐ
绶	shòu
玺	xǐ
挈	qiè
铙	náo
酊	dīng_dǐng
畦	qí
冢	zhǒng
鄣	zhāng
忏	chàn_qiān_qiǎn
屙	ē
婧	jìng
嫦	cháng
顼	xū
猷	yóu
痨	láo
痘	dòu
羚	líng
孪	luán
铱	yī
篆	zhuàn
啬	sè
僦	jiù
诘	jié_jí
谀	yú
谙	ān
芮	ruì
嗌	yì_ài_wò
噤	jìn
囝	jiǎn_nān
恹	yān
寮	liáo
槁	gǎo
樽	zūn
戡	kān
毽	jiàn
鸲	qú_zhōng
鹦	yīng
痱	fèi_féi
裨	bì_pí
耩	jiǎng
趿	tā_qì_sà
鲛	jiāo
鼷	xī
赊	shē
壹	yī
丌	qí_jī
伢	yá
谧	mì
塥	gé
抻	chēn
哝	nóng
浣	huàn
宸	chén
弩	nǔ
鬻	yù
橹	lǔ
赆	jìn
胛	jiǎ
睨	nì
跄	qiāng_qiàng
隽	jùn_juàn
侗	dòng_tóng_tǒng
孵	fū
潞	lù
侏	zhū
呷	xiā_gā
泯	mǐn
婺	wù
蜮	yù
粲	càn
忻	xīn
诎	qū
幔	màn
钺	yuè
霈	pèi
鲮	líng
诤	zhèng_zhēng
谔	è
陟	zhì
壅	yōng
菽	shū
摅	shū
幛	zhàng
嶙	lín
犷	guǎng
钸	bū_bù
趄	qiè_jū
踹	chuài
鞣	róu
鼯	wú
氽	tǔn
惬	qiè
觑	qù_qū
钤	qián
醵	jù
稣	sū
畚	běn
荠	jì_qí
莅	lì
啻	chì
怵	chù
恽	yùn
阕	què
濯	zhuó_zhào
迩	ěr
姹	chà
琬	wǎn
橛	jué
轱	gū
甑	zèng
暄	xuān
腚	dìng
旌	jīng
钚	bù
蝠	fú
蝮	fù
箴	zhēn
羰	tāng
豇	jiāng
踮	diǎn
鼋	yuán
鲷	diāo
毖	bì
臀	tún
俪	lì
郅	zhì
圄	yǔ
溽	rù
姒	sì
瑭	táng
璜	huáng
舫	fǎng
偻	lǚ_lóu
苋	xiàn
琰	yǎn
楹	yíng
豉	chǐ
黟	yī
玖	jiǔ
舷	xián
汆	cuān
郫	pí
彷	páng_fǎng
洮	táo
杳	yǎo
腴	yú
睽	kuí
蝤	qiú_yóu
舱	cāng
鞘	qiào_shāo
诌	zhōu
隍	huáng
邛	qióng
叱	chì
嗖	sōu
恪	kè
绺	liǔ
梵	fàn
昊	hào
钋	pō
镂	lòu
穹	qióng
皴	cūn
霾	mái
鲇	nián
淬	cuì
夙	sù
萘	nài
噘	juē
阚	kàn_hǎn
弭	mǐ
舂	chōng
醺	xūn
翱	áo
贰	èr
龋	qǔ
胤	yìn
鼐	nài
仄	zè
叵	pǒ
佝	gōu_kòu
俎	zǔ
诩	xǔ
谑	xuè
堇	jīn_jǐn
葺	qì
蕈	xùn
撺	cuān
忒	tè_tuī_tēi
喹	kuí
恻	cè
浃	jiā
宕	dàng
逖	tì
嫔	pín
棣	dì_dài_tì
槠	zhū
脒	mǐ
腼	miǎn
飕	sōu
睑	jiǎn
睿	ruì
锔	jū
锪	huò_huō
鹪	jiāo
耧	lóu
蜓	tíng
竽	yú
簟	diàn
跚	shān
跻	jī
鲅	bà
鳊	biān
鳝	shàn
髀	bì
髋	kuān
髻	jì
鬈	quán
亓	qí
匐	fú
哿	gě_jiā
苕	tiáo_sháo
蓼	liǎo_lù
夤	yín
砑	yà
鸬	lú
箸	zhù
椽	chuán
垌	dòng_tóng_tǒng
卟	bǔ
徕	lài_lái
暧	ài
歙	xī_shè
煸	biān
矶	jī
砹	ài
皈	guī
鸢	yuān
蟾	chán
鸯	yāng
搡	sǎng
呶	náo
怏	yàng
洎	jì
娌	lǐ
牒	dié
煜	yù
恙	yàng
龛	kān
敖	áo
剜	wān
垩	è_shèng
喏	nuò_rě
婕	jié
飒	sà
蜥	xī
兖	yǎn
埚	guō
塬	yuán
苒	rǎn
蕲	qí
幞	fú
怛	dá
孑	jié
缂	kè
缏	biàn_pián
甓	pì
钫	fāng
锆	gào
銮	luán
颧	quán
嚏	tì
仃	dīng
仨	sā
薰	xūn
擢	zhuó
啜	chuò_chuài
馀	yú
闱	wéi
汴	biàn
妍	yán
纾	shū
桠	yā
欤	yú
飓	jù
戾	lì
砣	tuó
磬	qìng
铗	jiá
鹭	lù
袼	gē
褓	bǎo
蟀	shuài
蟠	pán
笸	pǒ
筱	xiǎo
麒	qí
摈	bìn
蛔	huí
莆	pú
氐	dī_dǐ
僭	jiàn
籴	dí_zá
袤	mào
荟	huì
噍	jiào
崃	lái
廛	chán
阊	chāng
浔	xún
遴	lín
骊	lí
戛	jiá
歆	xīn
砼	tóng
蜻	qīng
豕	shǐ
麾	huī
肛	gāng
傈	lì
奘	zàng_zhuǎng
琥	hǔ
腱	jiàn
锶	sī
稗	bài
茬	chá
苫	shān_shàn
丕	pī
藿	huò
揆	kuí
啷	lāng
嘣	bēng
闫	yán_yàn
绀	gàn
珙	gǒng
栲	kǎo
碡	zhóu_dú
钍	tǔ
蒽	ēn
疣	yóu
剐	guǎ
馗	kuí
佶	jí
隈	wēi
藓	xiǎn
掼	guàn
唰	shuā
馔	zhuàn
遛	liù
孀	shuāng
柰	nài
樾	yuè
檩	lǐn
犍	jiān_qián
旎	nǐ
煲	bāo
盹	dǔn
蛎	lì
笥	sì
筌	quán
篼	dōu
艄	shāo
蹒	pán
龌	wò
鲣	jiān
鲧	gǔn
搽	chá
讣	fù
绦	tāo
佻	tiāo
冱	hù
茳	jiāng
荩	jìn
咭	jī_xī_qià
嗥	háo
嶝	dèng
廪	lǐn
阈	yù
驷	sì
缗	mín
缙	jìn
珀	pò
柩	jiù
楮	chǔ
橐	tuó
碹	xuàn
眄	miǎn_miàn
钷	pǒ
钹	bó
铳	chòng
耔	zǐ
颏	kē
蝼	lóu
蟋	xī
籁	lài
蹊	qī_xī
鳄	è
鳐	yáo
鞴	bèi_bài_bù_fú
髭	zī
垸	yuàn_huán
葭	jiā
啖	dàn
瑁	mào
町	tǐng_dīng
锟	kūn
桨	jiǎng
诫	jiè
痔	zhì
偌	ruò
苡	yǐ
荏	rěn
薮	sǒu
哓	xiāo
喁	yóng_yú
帑	tǎng_nú
幡	fān
嶂	zhàng
柚	yòu_yóu
楸	qiū
砻	lóng
磔	zhé
铌	ní
镌	juān
蛏	chēng
蟓	xiàng
蹴	cù_jiu
靓	jìng_liàng
霁	jì
龇	zī
鳎	tǎ
呋	fū
洄	huí
逋	bū
镉	gé_lì
菹	zū
喙	huì
猁	lì
阆	làng_láng
梏	gù
觌	dí
牖	yǒu
膈	gé
睚	yá_yái
铕	yǒu
臾	yú
曝	pù_bào
郧	yún
蛰	zhé
佤	wǎ
掎	jǐ
咻	xiū
嗄	shà_á
嘞	lei_lē
爿	pán_qiáng
涔	cén
楂	zhā_chá
晗	hán
觎	yú
牯	gǔ
铉	xuàn
锕	ā
镧	lán
蛄	gū
蛐	qū
笕	jiǎn
鲑	guī_xié
偈	jì_jié
萏	dàn
囿	yòu
圉	yǔ
忾	kài_xì_qì
漯	luò_tà
逵	kuí
缁	zī
缦	màn
轸	zhěn
贲	bì_bēn
忑	tè
罘	fú
蠲	juān
镗	tāng
蜉	fú
箧	qiè
箜	kōng
艚	cáo
趸	dǔn
鏖	áo
菖	chāng
铋	bì
谰	lán
娩	miǎn_wǎn
叁	sān
剽	piāo
堠	hòu
蔻	kòu
嘌	piāo_piào
噼	pī
徼	jiǎo_jiào
獍	jìng
饧	xíng_táng
汊	chà
涿	zhuō
潲	shào
孱	chán_càn
娅	yà
姘	pīn
璐	lù
柃	líng
柢	dǐ_chí
樯	qiáng
胪	lú
腓	féi
焖	mèn
睢	huī_suī
瞽	gǔ
畲	shē
鹌	ān
痧	shā
裼	xī_tì
蝌	kē
豸	zhì
鲐	tái
鲻	zī
鳍	qí
螟	míng
鲴	gù
孛	bèi_bó
苎	zhù
唑	zuò
猡	luó
漭	mǎng
淼	miǎo
稔	rěn
鲕	ér
俑	yǒng
讧	hòng
茏	lóng
荜	bì
莓	méi
葑	fēng
揿	qìn
啕	táo
嚯	huò_xuè
湟	huáng
滂	pāng
婀	ē
缵	zuǎn
樨	xī
瓿	bù_pǒu
碚	bèi
瞠	chēng
锎	kāi
镅	méi
痍	yí
竦	sǒng
笊	zhào
翮	hé
卞	biàn
橇	qiāo
厍	shè
厝	cuò
儋	dān_dàn
谄	chǎn
荇	xìng
莴	wō
葚	shèn_rèn
蓓	bèi
薏	yì
弑	shì
嚅	rú
嵋	méi
狷	juàn
馓	sǎn
溟	míng
骀	tái_dài
枵	xiāo
桤	qī
榫	sǔn
榍	xiè
殄	tiǎn
殓	liàn
辇	niǎn
牦	máo
斓	lán
硎	xíng
碛	qì
瞵	lín
铍	pí_pī
稹	zhěn
鹩	liáo
痫	xián
瘿	yǐng
颚	è
蟥	huáng
篥	lì
裟	shā
籼	xiān
粝	lì
酾	shī_shāi
跎	tuó
鲟	xún
黠	xiá
醌	kūn
鬲	gé_lì
墁	màn
鼙	pí
茜	qiàn_xī
莒	jǔ
荦	luò
吲	yǐn_shěn
啐	cuì_qi
崦	yān
徵	zhǐ_zhēng
愠	yùn_wěn_yǔn
懵	měng
湎	miǎn
滠	shè
潸	shān
濑	lài
缬	xié
柽	chēng_jué
镦	duī_duì
鹑	chún
鹜	wù
袂	mèi
蚍	pí
蛱	jiá
筚	bì
糨	jiàng
翕	xī_xì
雒	luò
鲲	kūn
剀	kǎi
仳	pǐ_pí
诳	kuáng
郯	tán
埝	niàn_diàn_niè
咴	huī_hái
哚	duǒ
嗑	kē_kè
囫	hú
嵘	róng
豳	bīn
洹	huán
浜	bāng_bīn
姣	jiāo_xiáo
楝	liàn
轫	rèn
犒	kào
氙	xiān
忐	tǎn
睃	suō_juān_jùn
秣	mò
皙	xī
窈	yǎo
窕	tiǎo_yáo
耒	lěi
颛	zhuān
蜃	shèn
舣	yǐ
趵	bào_bō
跛	bǒ
踟	chí
鲡	lí
鲱	fēi
咿	yī
骈	pián
狙	jū
侩	kuài
痈	yōng
陔	gāi
垅	lǒng
撙	zǔn
喾	kù
嗉	sù
恂	xún
戕	qiāng
浞	zhuó
邈	miǎo
骁	xiāo
骐	qí
邕	yōng
珞	luò
琨	kūn
杼	zhù
柘	zhè
棹	zhào_zhuō
暌	kuí
媵	yìng
镎	ná
镏	liú_liù
疝	shàn
蚱	zhà
蛉	líng
罄	qìng
箬	ruò
跖	zhí
蹁	pián
蹼	pǔ
鲳	chāng
鳅	qiū
骷	kū
髅	lóu
墒	shāng
呱	guā_gū_guǎ
绻	quǎn
秕	bǐ
痉	jìng
泅	qiú
孬	nāo_huài
侬	nóng
诓	kuāng
谳	yàn
掮	qián
啁	zhōu_zhāo_tiào
崴	wǎi_wēi
獾	huān
忪	sōng_zhōng
妯	zhóu
玳	dài
刖	yuè
髑	dú
讫	qì
瘸	qué
獭	tǎ
刎	wěn
仉	zhǎng
伥	chāng
僖	xī
羸	léi
讦	jié
谇	suì
茛	gèn
菰	gū
啵	bo_bō
峥	zhēng
獬	xiè
庖	páo
忤	wǔ
怊	chāo
懔	lǐn_lǎn
洇	yīn_yān
濉	suī
彘	zhì
艴	fú
嫠	lí
绾	wǎn
缃	xiāng
玑	jī
珉	mín
旮	gā
虢	guó
豚	tún
腧	shù
膑	bìn
硖	xiá
钣	bǎn
锞	kè
镒	yì
镥	lǔ
镫	dèng
耖	chào
颞	niè
螨	mǎn
簋	guǐ
舡	chuán_gāng
舭	bǐ
袈	jiā
糗	qiǔ
酽	yàn
踅	xué_chì
跹	xiān
巽	xùn
螂	láng
佞	nìng
诠	quán
阽	diàn_yán
圹	kuàng
埴	zhí
堙	yīn
塄	léng
蕺	jí
蘼	mí
摁	èn
撄	yīng
撷	xié
撸	lū
呓	yì
噻	sāi
帙	zhì
憷	chù_chǔ
沔	miǎn
沆	hàng
沩	wéi
泔	gān
潴	zhū
澉	gǎn
娆	ráo_rǎo
骅	huá
缣	jiān
韪	wěi
栎	lì_yuè
栾	luán
桴	fú
榀	pǐn
椴	duàn
觋	xí
炱	tái
戆	gàng_zhuàng
畎	quǎn
盍	hé
铷	rú
鹗	è
蝻	nǎn
笱	gǒu
舢	shān
羯	jié
醢	hǎi
麇	jūn_qún
佟	tóng
谡	sù
谶	chèn
堞	dié
莪	é
蕻	hòng
叻	lè
哙	kuài
咤	zhà
淝	féi
逅	hòu
遑	huáng
尕	gǎ
棂	líng
氅	chǎng
腙	zōng
磙	gǔn
铟	yīn
矬	cuó
稃	fū
瘌	là
癯	qú
颉	jié_xié_jiá
趱	zǎn
踺	jiàn
扦	qiān
胱	guāng
糌	zān
誊	téng
诟	gòu
陉	xíng
隗	wěi_kuí
郜	gào
垭	yā
埘	shí
荬	mǎi
莼	chún
菟	tù_tú
葩	pā
摺	zhé
甙	dài
啭	zhuàn
嗫	niè
嘧	mì
馊	sōu
悌	tì
慵	yōng
洚	jiàng
潋	liàn
蹇	jiǎn
椐	jū
赉	lài
煳	hú
戽	hù
愆	qiān
铹	láo
锴	kǎi
镆	mò
窨	yìn_xūn
窳	yǔ
褊	biǎn
褫	chǐ
篁	huáng
舸	gě
糅	róu
趔	liè
龃	jǔ
縻	mí
苌	cháng
荽	suī
搠	shuò
渌	lù
灞	bà
骛	wù
齑	jī
硐	dòng
聱	áo
虻	méng
蝣	yóu
螳	táng
筘	kòu
篌	hóu
麋	mí
鹫	jiù
蹿	cuān
娠	shēn
伛	yǔ
唏	xī
嘭	pēng
幄	wò
徉	yáng
溆	xù
枧	jiǎn
殒	yǔn
氆	pǔ
钪	kàng
铼	lái
秭	zǐ
鹈	tí
瘊	hóu
褡	dā
螫	shì_zhē
赧	nǎn
趼	jiǎn
雏	chú
珐	fà
疹	zhěn
芈	mǐ
伉	kàng
倥	kōng_kǒng
诼	zhuó
邬	wū
郄	qiè_xì_què
荑	yí_tí
莘	shēn_xīn
蓁	zhēn
辔	pèi
岫	xiù
峄	yì
崞	guō
忝	tiǎn
洫	xù
洳	rù
湔	jiān
濮	pú
瀹	yuè
迨	dài
缋	huì_huí
枥	lì
棼	fén
殍	piǎo
昱	yù
赅	gāi
擘	bò_bāi
旒	liú
燹	xiǎn
砭	biān
碓	duì
黻	fú
睐	lài
畀	bì
钐	shān_shàn
锝	dé
镛	yōng
鸷	zhì
疬	lì
癍	bān
颡	sǎng
蜢	měng
衾	qīn
骶	dǐ
啄	zhuó
鳗	mán
佰	bǎi
妊	rèn
兕	sì
诮	qiào
谲	jué
邶	bèi
鄢	yān
圯	yí
茔	yíng
茕	qióng
茈	zǐ_cí
蕨	jué
抟	tuán
摭	zhí
囹	líng
帼	guó
愎	bì
汜	sì
洧	wěi
洙	zhū
澍	shù_zhù
逡	qūn
遨	áo
邂	xiè
妗	jìn
嬖	bì
绡	xiāo
甾	zāi_zī
梃	tǐng_tìng
桷	jué
榧	fěi
辋	wǎng
昕	xīn
炷	zhù
祓	fú
碇	dìng
罟	gǔ
钗	chāi
铊	tā_tuó
铤	tǐng_dìng
镡	xín_tán_chán
鸩	zhèn
鹆	yù
鹉	wǔ
鹧	zhè
瘐	yǔ
瘰	luǒ
癃	lóng
耨	nòu
聒	guō
蚶	hān
蟑	zhāng
笪	dá
羝	dī
粑	bā
糈	xǔ
蹰	chú
躐	liè
鲆	píng
鳇	huáng
挛	luán
睥	bì_pì
耪	pǎng
靥	yè
鄞	yín
酃	líng
埒	liè_lèi
夼	kuǎng
摞	luò
擤	xǐng
哂	shěn
嗝	gé
噱	jué_xué
嚓	cā_chā
帏	wéi
崮	gù
狴	bì
愦	kuì
泖	mǎo
骠	piào_biāo
绂	fú
缒	zhuì
犋	jù
塍	chéng
锒	láng
锫	péi
锿	āi
痦	wù
聃	dān
蚬	xiǎn
蟛	péng
笤	tiáo
鲚	jì
蹭	cèng
佾	yì
侪	chái
倬	zhuō
傥	tǎng
谮	zèn
谵	zhān
陧	niè
邴	bǐng
垡	fá
坫	diàn
苣	jù_qǔ
蒌	lóu
捭	bǎi_bǐ_bò
吣	qìn
囵	lún
犰	qiú
犴	hān_àn
猓	guō_guǒ
獐	zhāng
庑	wǔ
阌	wén
嬗	shàn
缱	qiǎn
殁	mò_wěn
旰	gàn_hàn
牾	wǔ
彀	gòu
旃	zhān
畹	wǎn
钽	tǎn
铑	lǎo
铪	hā_kē
锛	bēn
镞	zú
鸱	chī
蚩	chī
蜍	chú
蜴	yì
螬	cáo
襞	bì
翳	yì
貊	mò
龈	yín_kěn
龊	chuò
鎏	liú
飨	xiǎng
仟	qiān
嘏	gǔ_jiǎ
侑	yòu
倨	jù
偬	zǒng_cōng
龠	yuè
冁	chǎn
诖	guà
谫	jiǎn
谯	qiáo
劢	mài
鬯	chàng
坌	bèn
垓	gāi
堀	kū
艿	nǎi
莠	yǒu
荻	dí
蓊	wěng
蕤	ruí
掊	pǒu_póu
搌	zhǎn
呙	wāi_hé_wǒ_wā_guǎ_guō
唿	hū
岵	hù
崂	láo
嵯	cuó
嵴	jǐ_jí
獠	liáo
怄	òu
怩	ní
悛	quān
悱	fěi
闳	hóng
阋	xì
阗	tián
泺	luò_pō
淦	gàn
滏	fǔ
澌	sī
瀣	xiè
羼	chàn
妁	shuò
绁	xiè
缍	duǒ
珏	jué
璁	cōng
桡	ráo_náo
槎	chá
樗	chū
辚	lín
晷	guǐ
赇	qiú
牝	pìn
胨	dòng
胂	shèn
朐	qú_xù_chǔn
胼	pián
欷	xī
毂	gǔ
烊	yáng_yàng
熳	màn
燔	fán
爨	cuàn
恁	nèn_nín_rèn
畛	zhěn
詈	lì
钕	nǚ
锱	zī
镳	biāo
鸶	sī
鹚	cí
疖	jiē
疱	pào
疰	zhù
虬	qiú
蚪	dǒu
箨	tuò
簏	lù
艋	měng
粞	xī
醅	pēi
跞	lì_luò
蹀	dié
貔	pí
雠	chóu
鳕	xuě
鞫	jū_jú
魇	yǎn
魉	liǎng
餍	yàn
滗	bì
蠹	dù
僳	sù
囟	xìn
刳	kū
勖	xù
叟	sǒu
矍	jué
蕹	wèng
拶	zā_zǎn
吖	yā_ā
哐	kuāng
咩	miē
哞	mōu
喵	miāo
啶	dìng
徜	cháng
狯	kuài
舛	chuǎn
悭	qiān
阄	jiū
洌	liè
淠	pì_pèi
滹	hū
搴	qiān
遢	tà
邋	lā_liè
妲	dá
玎	dīng
琮	cóng
枨	chéng
榉	jǔ
檫	chá_sà
肼	jǐng
朊	ruǎn
腌	ā_yān
膦	lìn
碜	chěn
罱	lǎn_nǎn
钏	chuàn
疴	kē_qià
瘘	lòu
裥	jiǎn
耢	lào
耵	dīng
聩	kuì
蚋	ruì
蛴	qí
罂	yīng
艨	méng
跸	bì
跣	xiǎn
跤	jiāo
鞯	jiān
蓍	shī
仡	yì_gē
鲨	shā
熵	shāng
岿	kuī
亍	chù
爻	yáo
仵	wǔ
傩	nuó
僮	tóng_zhuàng
訇	hōng
隰	xí
邡	fāng
凼	dàng
墀	chí
苴	jū_chá
荨	qián_xún
蓐	rù
蓰	xǐ
奁	lián
捃	jùn
揸	zhā
唳	lì
岽	dōng
峤	jiào_qiáo
嵛	yú
嶷	yí
狃	niǔ
猕	mí
馑	jǐn
怿	yì
阃	kǔn
阍	hūn
涑	sù
濞	bì_pì
濠	háo
瀵	fèn
逦	lǐ
逯	lù
屣	xǐ
嫖	piáo_piāo
嫘	léi
驽	nú
骓	zhuī
绗	háng
珈	jiā
瑗	yuàn
璩	qú
榇	chèn
殇	shāng
殪	yì
晔	yè
赙	fù
毹	shū
歃	shà
觳	hú
旄	máo_mào
祧	tiāo
禊	xì
怼	duì
憝	duì
斫	zhuó
碥	biǎn
黼	fǔ
眇	miǎo
眦	zì
铒	ěr
锖	qiāng
锘	nuò
锸	chā
镝	dí_dī
矧	shěn
痤	cuó
衩	chà_chǎ
裣	liǎn
聍	níng
蝽	chūn
螽	zhōng
蟊	máo
缶	fǒu
笄	jī
箢	wǎn_yuān
舨	bǎn
舻	lú
舾	xī
艟	chōng
醑	xǔ
醭	bú
醯	xī
趺	fū
跗	fū
踝	huái
踬	zhì
踣	bó
躞	xiè
霪	yín
鋈	wù
鲠	gěng
鳏	guān
鳘	mǐn
鳢	lǐ
骰	tóu_shǎi
餮	tiè
菏	hé
乜	miē_niè
乩	jī
诜	shēn
谌	chén_shèn
阢	wù_wéi
鄹	zōu
劬	qú
勐	měng
埏	yán_shān
墉	yōng
茌	chí
茚	yìn
茱	zhū
荞	qiáo
菥	xī_sī
菘	sōng
萜	tiē
菔	fú
菅	jiān
葳	wēi
藁	gǎo
呲	zī_cī
哕	yuě_huì
哌	pài_gū
哏	gén_hěn
嘬	zuō_chuài
噌	cēng_chēng
崤	xiáo_yáo
嵫	zī
狨	róng
狺	yín
飧	sūn
饩	xì
馐	xiū
庥	xiū
怙	hù
怍	zuò_zhà
悃	kǔn
泷	lóng_shuāng
泫	xuàn
浈	zhēn
渑	miǎn_shéng
溲	sōu
滢	yíng
宄	guǐ
迓	yà
尻	kāo
妣	bǐ
妫	guī
娉	pīng
骜	áo
骟	shàn
缧	léi
瑷	ài
杌	wù
枰	píng
柝	tuò
桄	guāng_guàng
椹	zhēn_shèn
辂	lù
暝	míng
氍	qú
氕	piē
氤	yīn
胗	zhēn
朕	zhèn
膻	shān_dàn
熘	liū
燠	yù
砀	dàng
砦	zhài
礞	méng
睇	dì
钌	liǎo_liào
钔	mén
铈	shì
锃	zèng
镄	fèi
锺	zhōng
穰	ráng
瓠	hù
瘭	biāo
裢	lián_shāo
裎	chéng_chěng
襁	qiǎng
蛩	qióng
蝥	máo
筢	pá
酢	zuò_cù
醮	jiào
跬	kuǐ
觚	gū
觫	sù
龀	chèn
鲺	shī
鳓	lè
骺	hóu
黢	qū
诶	ēi_éi_ěi_èi_xī
後	hòu
缟	gǎo
桁	héng_háng
钯	bǎ_pá
痣	zhì
颌	hé_gé
傧	bīn
谂	shěn
掴	guó_guāi
剌	là_lá
脔	luán_jī
萸	yú
峋	xún
庠	xiáng
庹	tuǒ
泱	yāng
鲈	lú
薹	tái
捱	ái
呦	yōu
圊	qīng
岈	yá_xiā
狳	yú
缯	zēng_zèng
珲	hún_huī
旯	lá
鹕	hú
顸	hān
螈	yuán
龉	yǔ
捌	bā
疥	jiè
疽	jū
柒	qī
鼗	táo
厣	yǎn
刿	guì
蒯	kuǎi
仂	lè
仫	mù
伲	nǐ_nì
佴	èr_nài
俦	chóu
倮	luǒ
裒	póu
蠃	luǒ
诔	lěi
诹	zōu
谝	piǎn
阼	zuò
陴	pī_pí
邗	hán
邙	máng
邾	zhū
郐	kuài
郗	xī_chī
劭	shào
坼	chè
坻	dǐ_chí
埕	chéng
埸	yì
堍	tù
艽	jiāo_qiú
芨	jī_jí
芎	xiōng_qiōng_qióng
芑	qǐ
芾	fèi_fú
芰	jì
苈	lì
芩	qín
芪	qí_chí
苤	piě
苘	qǐng
苻	fú
茑	niǎo
莩	fú_piǎo
萑	huán_zhuī_tuī
蒉	kuì_kuài
葶	tíng
蒎	pài
蔌	sù
甍	méng
蔹	liǎn
蕖	qú
薤	xiè
薜	bì
薷	rú
蘅	héng
匏	páo
尥	liào
捩	liè
揠	yà
揎	xuān
搋	chuāi
吒	zhà_zhā
呒	fǔ_ḿ
咣	guāng
唪	fěng
唼	shà_shǎ
喈	jiē
嗪	qín
嗲	diǎ
嗍	suō_shuò
嗾	sǒu
岘	xiàn
岙	ào
岢	kě
岣	gǒu
峁	mǎo
彳	chì
狁	yǔn
狲	sūn
猃	xiǎn
猊	ní
猢	hú
猱	náo
獯	xūn
庳	bēi_bì_pí
廨	xiè
忮	zhì
怫	fú_fèi
隳	huī_duò
闶	kàng_kāng
阒	qù
洵	xún
涠	wéi
溱	zhēn_qín
溷	hùn
澹	dàn_tán
澶	chán
宥	yòu
寤	wù
妪	yù
姝	shū
娲	wā
婊	biǎo
媪	ǎo_wò_yǔn
嫫	mó
嫒	ài
嫱	qiáng
骖	cān
骘	zhì
骝	liú
纡	yū
绔	kù
绠	gěng
绨	tí_tì
缇	tí
缌	sī
缛	rù
缲	qiāo_sāo
缳	huán
珥	ěr
璎	yīng
杓	sháo_biāo
杪	miǎo
栌	lú
柁	tuó_duò
栳	lǎo
栝	guā_tiǎn_kuò
棰	chuí
椋	liáng
椁	guǒ
槿	jǐn
樘	táng_chěng
橥	zhū
殛	jí
轷	hū
轺	yáo
轾	zhì
辏	còu
軎	wèi
瓴	líng
昀	yún
昝	zǎn
晡	bū
暾	tūn
贶	kuàng
赕	dǎn
觇	chān
觏	gòu
牮	jiàn
挲	suō_shā
毪	mú
氲	yūn_yún
肫	zhūn_chún
肭	nà
胍	guā
胴	dòng
脶	luó
腩	nǎn
欹	qī_yī
炝	qiàng
焐	wù
爝	jué
扃	jiōng
祢	mí
禳	ráng
悫	què
愍	mǐn
慝	tè
砗	chē
硗	qiāo
磲	qú
礅	dūn
黹	zhǐ
眢	yuān
眙	yí_chì
瞍	sǒu
疃	tuǎn
罡	gāng
罴	pí
罹	lí
罾	zēng
钿	diàn_tián
铘	yé
锇	é
锬	tán
锾	huán
镔	bīn
镟	xuàn
镤	pú
镲	chǎ
皤	pó
鸺	xiū
鹁	bó
鹂	lí
鹣	jiān
鹬	yù
鹳	guàn
疔	dīng
疳	gān
瘃	zhú
痿	wěi
瘥	chài_cuó
瘼	mò
瘵	zhài
癜	diàn
窬	yú
衿	jīn
袢	pàn
襦	rú
襻	pàn
耜	sì
耱	mò
耋	dié
颟	mān
颢	hào
颥	rú
颦	pín
虿	chài
蚺	rán
蛲	náo
