的	[※※※※※,※rqyy※,※de_dí_dì※,※GB2312※]
激	[※※※※※,※iryt※,※jī※,※GB2312※]
渤	[※※※※※,※ifpl※,※bó※,※GB2312※]
模	[※※※※※,※sajd※,※mó_mú※,※GB2312※]
控	[※※※※※,※rpwa※,※kòng※,※GB2312※]
卫	[※※※※,※bgd※,※wèi※,※GB2312※]
久	[※※※※,※qyi※,※jiǔ※,※GB2312※]
印	[※※※※※,※qgbh※,※yìn※,※GB2312※]
房	[※※※※※,※ynyv※,※fáng_páng※,※GB2312※]
停	[※※※※※,※wyps※,※tíng※,※GB2312※]
甚	[※※※※※,※adwn※,※shèn_shén※,※GB2312※]
皮	[※※※※,※hci※,※pí※,※GB2312※]
洲	[※※※※※,※iyth※,※zhōu※,※GB2312※]
搞	[※※※※※,※rymk※,※gǎo※,※GB2312※]
息	[※※※※※,※thnu※,※xī_xí※,※GB2312※]
移	[※※※※※,※tqqy※,※yí※,※GB2312※]
旧	[※※※※,※hjg※,※jiù※,※GB2312※]
拿	[※※※※※,※wgkr※,※ná※,※GB2312※]
若	[※※※※※,※adkf※,※ruò_rě※,※GB2312※]
顶	[※※※※※,※sdmy※,※dǐng※,※GB2312※]
短	[※※※※※,※tdgu※,※duǎn※,※GB2312※]
湖	[※※※※※,※ideg※,※hú※,※GB2312※]
括	[※※※※※,※rtdg※,※kuò_guā※,※GB2312※]
挥	[※※※※※,※rplh※,※huī※,※GB2312※]
侵	[※※※※※,※wvpc※,※qīn※,※GB2312※]
甲	[※※※※※,※lhnh※,※jiǎ※,※GB2312※]
游	[※※※※※,※iytb※,※yóu※,※GB2312※]
语	[※※※※※,※ygkg※,※yǔ_yù※,※GB2312※]
冷	[※※※※※,※uwyc※,※lěng※,※GB2312※]
普	[※※※※※,※uogj※,※pǔ※,※GB2312※]
银	[※※※※※,※qvey※,※yín※,※GB2312※]
乐	[※※※※,※qii※,※lè_yuè_yào_lào※,※GB2312※]
医	[※※※※※,※atdi※,※yī_yì※,※GB2312※]
烧	[※※※※※,※oatq※,※shāo※,※GB2312※]
刘	[※※※※,※yjh※,※liú※,※GB2312※]
吗	[※※※※,※kcg※,※má_mǎ_ma※,※GB2312※]
针	[※※※※,※qfh※,※zhēn※,※GB2312※]
纸	[※※※※※,※xqan※,※zhǐ※,※GB2312※]
粉	[※※※※※,※owvn※,※fěn※,※GB2312※]
散	[※※※※※,※aety※,※sàn_sǎn※,※GB2312※]
急	[※※※※※,※qvnu※,※jí※,※GB2312※]
预	[※※※※※,※cbdm※,※yù※,※GB2312※]
扩	[※※※※,※ryt※,※kuò※,※GB2312※]
愿	[※※※※※,※drin※,※yuàn※,※GB2312※]
核	[※※※※※,※synw※,※hé_hú※,※GB2312※]
吧	[※※※※,※kcn※,※bā_ba※,※GB2312※]
龙	[※※※※,※dxv※,※lóng※,※GB2312※]
误	[※※※※※,※ykgd※,※wù※,※GB2312※]
欢	[※※※※※,※cqwy※,※huān※,※GB2312※]
孩	[※※※※※,※bynw※,※hái※,※GB2312※]
盐	[※※※※※,※fhlf※,※yán※,※GB2312※]
善	[※※※※※,※uduk※,※shàn※,※GB2312※]
雨	[※※※※※,※fghy※,※yǔ_yù※,※GB2312※]
货	[※※※※※,※wxmu※,※huò※,※GB2312※]
讨	[※※※※,※yfy※,※tǎo※,※GB2312※]
测	[※※※※※,※imjh※,※cè※,※GB2312※]
丝	[※※※※※,※xxgf※,※sī※,※GB2312※]
室	[※※※※※,※pgcf※,※shì※,※GB2312※]
混	[※※※※※,※ijxx※,※hùn_hún※,※GB2312※]
弹	[※※※※※,※xujf※,※dàn_tán※,※GB2312※]
乎	[※※※※※,※tuhk※,※hū※,※GB2312※]
鲜	[※※※※※,※qgud※,※xiān_xiǎn※,※GB2312※]
晚	[※※※※※,※jqkq※,※wǎn※,※GB2312※]
乱	[※※※※※,※tdnn※,※luàn※,※GB2312※]
沙	[※※※※※,※iitt※,※shā_shà※,※GB2312※]
序	[※※※※※,※ycbk※,※xù※,※GB2312※]
缺	[※※※※※,※rmnw※,※quē※,※GB2312※]
获	[※※※※※,※aqtd※,※huò※,※GB2312※]
读	[※※※※※,※yfnd※,※dú_dòu※,※GB2312※]
鲁	[※※※※※,※qgjf※,※lǔ※,※GB2312※]
载	[※※※※※,※falk※,※zǎi_zài※,※GB2312※]
渐	[※※※※※,※ilrh※,※jiàn_jiān※,※GB2312※]
父	[※※※※,※wqu※,※fù_fǔ※,※GB2312※]
啊	[※※※※※,※kbsk※,※ā_á_ǎ_à_a※,※GB2312※]
演	[※※※※※,※ipgw※,※yǎn※,※GB2312※]
刚	[※※※※※,※mqjh※,※gāng※,※GB2312※]
守	[※※※※,※pfu※,※shǒu※,※GB2312※]
宁	[※※※※,※psj※,※níng_nìng_zhù※,※GB2312※]
杀	[※※※※,※qsu※,※shā※,※GB2312※]
谓	[※※※※※,※yleg※,※wèi※,※GB2312※]
刑	[※※※※※,※gajh※,※xíng※,※GB2312※]
附	[※※※※※,※bwfy※,※fù※,※GB2312※]
担	[※※※※※,※rjgg※,※dān_dàn_dǎn_jiē※,※GB2312※]
贵	[※※※※※,※khgm※,※guì※,※GB2312※]
班	[※※※※※,※gytg※,※bān※,※GB2312※]
稳	[※※※※※,※tqvn※,※wěn※,※GB2312※]
钢	[※※※※※,※qmqy※,※gāng_gàng※,※GB2312※]
迫	[※※※※,※rpd※,※pò_pǎi※,※GB2312※]
答	[※※※※※,※twgk※,※dá_dā※,※GB2312※]
距	[※※※※※,※khan※,※jù※,※GB2312※]
药	[※※※※※,※axqy※,※yào※,※GB2312※]
假	[※※※※※,※wnhc※,※jiǎ_jià※,※GB2312※]
毫	[※※※※※,※yptn※,※háo※,※GB2312※]
兰	[※※※※,※uff※,※lán※,※GB2312※]
喜	[※※※※※,※fkuk※,※xǐ※,※GB2312※]
练	[※※※※※,※xanw※,※liàn※,※GB2312※]
乙	[※※※※※,※nnll※,※yǐ_zhé※,※GB2312※]
酒	[※※※※※,※isgg※,※jiǔ※,※GB2312※]
盾	[※※※※※,※rfhd※,※dùn※,※GB2312※]
困	[※※※※,※lsi※,※kùn※,※GB2312※]
买	[※※※※※,※nudu※,※mǎi※,※GB2312※]
福	[※※※※※,※pygl※,※fú※,※GB2312※]
征	[※※※※※,※tghg※,※zhēng※,※GB2312※]
阻	[※※※※※,※begg※,※zǔ※,※GB2312※]
损	[※※※※※,※rkmy※,※sǔn※,※GB2312※]
介	[※※※※,※wjj※,※jiè※,※GB2312※]
剂	[※※※※※,※yjjh※,※jì※,※GB2312※]
穿	[※※※※※,※pwat※,※chuān※,※GB2312※]
钟	[※※※※※,※qkhh※,※zhōng※,※GB2312※]
顺	[※※※※※,※kdmy※,※shùn※,※GB2312※]
飞	[※※※※,※nui※,※fēi※,※GB2312※]
丰	[※※※※,※dhk※,※fēng※,※GB2312※]
怕	[※※※※,※nrg※,※pà※,※GB2312※]
祖	[※※※※※,※pyeg※,※zǔ※,※GB2312※]
矛	[※※※※※,※cbtr※,※máo※,※GB2312※]
执	[※※※※※,※rvyy※,※zhí※,※GB2312※]
星	[※※※※※,※jtgf※,※xīng※,※GB2312※]
谁	[※※※※※,※ywyg※,※shuí_shéi※,※GB2312※]
血	[※※※※,※tld※,※xiě_xuè_xuě※,※GB2312※]
背	[※※※※※,※uxef※,※bèi_bēi※,※GB2312※]
掌	[※※※※※,※ipkr※,※zhǎng※,※GB2312※]
脱	[※※※※※,※eukq※,※tuō_tuì※,※GB2312※]
希	[※※※※※,※qdmh※,※xī※,※GB2312※]
评	[※※※※※,※yguh※,※píng※,※GB2312※]
沉	[※※※※※,※ipmn※,※chén_chēn※,※GB2312※]
概	[※※※※※,※svcq※,※gài※,※GB2312※]
跑	[※※※※※,※khqn※,※pǎo_páo※,※GB2312※]
熟	[※※※※※,※ybvo※,※shú_shóu※,※GB2312※]
伤	[※※※※※,※wtln※,※shāng※,※GB2312※]
衣	[※※※※,※yeu※,※yī_yì※,※GB2312※]
械	[※※※※※,※saah※,※xiè※,※GB2312※]
烟	[※※※※※,※oldy※,※yān_yīn※,※GB2312※]
审	[※※※※※,※pjhj※,※shěn※,※GB2312※]
扬	[※※※※※,※rnrt※,※yáng※,※GB2312※]
翻	[※※※※※,※toln※,※fān※,※GB2312※]
秋	[※※※※,※toy※,※qiū※,※GB2312※]
露	[※※※※※,※fkhk※,※lòu_lù※,※GB2312※]
慢	[※※※※※,※njlc※,※màn※,※GB2312※]
静	[※※※※※,※geqh※,※jìng※,※GB2312※]
免	[※※※※※,※qkqb※,※miǎn※,※GB2312※]
促	[※※※※※,※wkhy※,※cù※,※GB2312※]
践	[※※※※※,※khgt※,※jiàn※,※GB2312※]
脚	[※※※※※,※efcb※,※jiǎo_jué※,※GB2312※]
妈	[※※※※,※vcg※,※mā※,※GB2312※]
补	[※※※※※,※puhy※,※bǔ※,※GB2312※]
薄	[※※※※※,※aigf※,※báo_bó_bò※,※GB2312※]
牛	[※※※※,※rhk※,※niú※,※GB2312※]
句	[※※※※,※qkd※,※jù_gōu※,※GB2312※]
握	[※※※※※,※rngf※,※wò※,※GB2312※]
编	[※※※※※,※xyna※,※biān※,※GB2312※]
庆	[※※※※,※ydi※,※qìng※,※GB2312※]
亮	[※※※※※,※ypmb※,※liàng※,※GB2312※]
笔	[※※※※※,※ttfn※,※bǐ※,※GB2312※]
居	[※※※※,※ndd※,※jū※,※GB2312※]
味	[※※※※※,※kfiy※,※wèi※,※GB2312※]
映	[※※※※※,※jmdy※,※yìng※,※GB2312※]
斤	[※※※※※,※rtth※,※jīn※,※GB2312※]
培	[※※※※※,※fukg※,※péi※,※GB2312※]
松	[※※※※※,※swcy※,※sōng※,※GB2312※]
乡	[※※※※,※xte※,※xiāng_yuàn※,※GB2312※]
诗	[※※※※※,※yffy※,※shī※,※GB2312※]
异	[※※※※,※naj※,※yì_yí※,※GB2312※]
孔	[※※※※,※bnn※,※kǒng※,※GB2312※]
顾	[※※※※※,※dbdm※,※gù※,※GB2312※]
呼	[※※※※※,※ktuh※,※hū※,※GB2312※]
香	[※※※※,※tjf※,※xiāng※,※GB2312※]
菜	[※※※※※,※aesu※,※cài※,※GB2312※]
威	[※※※※※,※dgvt※,※wēi※,※GB2312※]
尼	[※※※※,※nxv※,※ní※,※GB2312※]
抓	[※※※※※,※rrhy※,※zhuā※,※GB2312※]
攻	[※※※※,※aty※,※gōng※,※GB2312※]
奇	[※※※※※,※dskf※,※qí_jī※,※GB2312※]
倍	[※※※※※,※wukg※,※bèi※,※GB2312※]
临	[※※※※※,※jtyj※,※lín※,※GB2312※]
掉	[※※※※※,※rhjh※,※diào※,※GB2312※]
岁	[※※※※,※mqu※,※suì※,※GB2312※]
脸	[※※※※※,※ewgi※,※liǎn※,※GB2312※]
剧	[※※※※※,※ndjh※,※jù※,※GB2312※]
哥	[※※※※※,※sksk※,※gē※,※GB2312※]
延	[※※※※※,※thpd※,※yán※,※GB2312※]
末	[※※※※,※gsi※,※mò※,※GB2312※]
销	[※※※※※,※qieg※,※xiāo※,※GB2312※]
皇	[※※※※,※rgf※,※huáng※,※GB2312※]
永	[※※※※※,※ynii※,※yǒng※,※GB2312※]
汽	[※※※※※,※irnn※,※qì※,※GB2312※]
景	[※※※※※,※jyiu※,※jǐng_yǐng※,※GB2312※]
娘	[※※※※※,※vyve※,※niáng※,※GB2312※]
伟	[※※※※※,※wfnh※,※wěi※,※GB2312※]
齐	[※※※※,※yjj※,※qí_jì_zī_zhāi※,※GB2312※]
陆	[※※※※※,※bfmh※,※lù_liù※,※GB2312※]
赵	[※※※※※,※fhqi※,※zhào※,※GB2312※]
雷	[※※※※,※flf※,※léi※,※GB2312※]
危	[※※※※※,※qdbb※,※wēi※,※GB2312※]
胡	[※※※※,※deg※,※hú※,※GB2312※]
聚	[※※※※※,※bcti※,※jù※,※GB2312※]
硫	[※※※※※,※dycq※,※liú※,※GB2312※]
束	[※※※※※,※gkii※,※shù※,※GB2312※]
轴	[※※※※,※lmg※,※zhóu_zhòu※,※GB2312※]
套	[※※※※,※ddu※,※tào※,※GB2312※]
座	[※※※※※,※ywwf※,※zuò※,※GB2312※]
粮	[※※※※※,※oyve※,※liáng※,※GB2312※]
灯	[※※※※,※osh※,※dēng_dīng※,※GB2312※]
课	[※※※※※,※yjsy※,※kè※,※GB2312※]
绍	[※※※※※,※xvkg※,※shào※,※GB2312※]
杨	[※※※※※,※snrt※,※yáng※,※GB2312※]
怀	[※※※※※,※ngiy※,※huái_fù※,※GB2312※]
饭	[※※※※※,※qnrc※,※fàn※,※GB2312※]
赶	[※※※※※,※fhfk※,※gǎn_qián※,※GB2312※]
缩	[※※※※※,※xpwj※,※suō_sù※,※GB2312※]
额	[※※※※※,※ptkm※,※é※,※GB2312※]
孙	[※※※※,※biy※,※sūn_xùn※,※GB2312※]
棉	[※※※※※,※srmh※,※mián※,※GB2312※]
鼓	[※※※※※,※fkuc※,※gǔ※,※GB2312※]
宽	[※※※※※,※pamq※,※kuān※,※GB2312※]
绿	[※※※※※,※xviy※,※lǜ_lù※,※GB2312※]
川	[※※※※※,※kthh※,※chuān※,※GB2312※]
夺	[※※※※,※dfu※,※duó※,※GB2312※]
归	[※※※※,※jvg※,※guī※,※GB2312※]
灭	[※※※※,※goi※,※miè※,※GB2312※]
煤	[※※※※※,※oafs※,※méi※,※GB2312※]
宗	[※※※※※,※pfiu※,※zōng※,※GB2312※]
衡	[※※※※※,※tqdh※,※héng※,※GB2312※]
卷	[※※※※※,※udbb※,※juàn_juǎn※,※GB2312※]
盟	[※※※※※,※jelf※,※méng※,※GB2312※]
弱	[※※※※※,※xuxu※,※ruò※,※GB2312※]
竟	[※※※※※,※ujqb※,※jìng※,※GB2312※]
镇	[※※※※※,※qfhw※,※zhèn※,※GB2312※]
途	[※※※※※,※wtpi※,※tú※,※GB2312※]
厚	[※※※※※,※djbd※,※hòu※,※GB2312※]
触	[※※※※※,※qejy※,※chù_hóng※,※GB2312※]
措	[※※※※※,※rajg※,※cuò※,※GB2312※]
藏	[※※※※※,※adnt※,※cáng_zàng※,※GB2312※]
玉	[※※※※,※gyi※,※yù※,※GB2312※]
哈	[※※※※※,※kwgk※,※hā_hǎ_hà※,※GB2312※]
零	[※※※※※,※fwyc※,※líng※,※GB2312※]
枪	[※※※※※,※swbn※,※qiāng※,※GB2312※]
灵	[※※※※,※vou※,※líng※,※GB2312※]
险	[※※※※※,※bwgi※,※xiǎn※,※GB2312※]
款	[※※※※※,※ffiw※,※kuǎn※,※GB2312※]
召	[※※※※,※vkf※,※zhào_shào※,※GB2312※]
遍	[※※※※※,※ynmp※,※biàn※,※GB2312※]
呀	[※※※※※,※kaht※,※yā_ya※,※GB2312※]
敢	[※※※※※,※nbty※,※gǎn※,※GB2312※]
恶	[※※※※※,※gogn※,※è_wù_ě_wū※,※GB2312※]
借	[※※※※※,※wajg※,※jiè※,※GB2312※]
歌	[※※※※※,※sksw※,※gē※,※GB2312※]
脑	[※※※※※,※eybh※,※nǎo※,※GB2312※]
泽	[※※※※※,※icfh※,※zé_shì※,※GB2312※]
染	[※※※※※,※ivsu※,※rǎn※,※GB2312※]
庭	[※※※※※,※ytfp※,※tíng※,※GB2312※]
唱	[※※※※※,※kjjg※,※chàng※,※GB2312※]
训	[※※※※,※ykh※,※xùn※,※GB2312※]
堂	[※※※※※,※ipkf※,※táng※,※GB2312※]
域	[※※※※※,※fakg※,※yù※,※GB2312※]
植	[※※※※※,※sfhg※,※zhí※,※GB2312※]
欧	[※※※※※,※aqqw※,※ōu※,※GB2312※]
宪	[※※※※※,※ptfq※,※xiàn_hùn_mào_xiòng※,※GB2312※]
裂	[※※※※※,※gqje※,※liè_liě※,※GB2312※]
努	[※※※※※,※vclb※,※nǔ※,※GB2312※]
彻	[※※※※※,※tavn※,※chè※,※GB2312※]
探	[※※※※※,※rpws※,※tàn※,※GB2312※]
沿	[※※※※※,※imkg※,※yán_yàn※,※GB2312※]
户	[※※※※,※yne※,※hù※,※GB2312※]
振	[※※※※※,※rdfe※,※zhèn※,※GB2312※]
粒	[※※※※,※oug※,※lì※,※GB2312※]
频	[※※※※※,※hidm※,※pín_bīn※,※GB2312※]
督	[※※※※※,※hich※,※dū※,※GB2312※]
袁	[※※※※※,※fkeu※,※yuán※,※GB2312※]
垂	[※※※※※,※tgaf※,※chuí※,※GB2312※]
纯	[※※※※※,※xgbn※,※chún※,※GB2312※]
纳	[※※※※※,※xmwy※,※nà※,※GB2312※]
折	[※※※※,※rrh※,※zhē_zhé_shé※,※GB2312※]
操	[※※※※※,※rkks※,※cāo_cào※,※GB2312※]
暗	[※※※※※,※jujg※,※àn※,※GB2312※]
耐	[※※※※※,※dmjf※,※nài※,※GB2312※]
份	[※※※※※,※wwvn※,※fèn_bīn※,※GB2312※]
录	[※※※※,※viu※,※lù※,※GB2312※]
卖	[※※※※※,※fnud※,※mài※,※GB2312※]
退	[※※※※※,※vepi※,※tuì※,※GB2312※]
遇	[※※※※※,※jmhp※,※yù※,※GB2312※]
茶	[※※※※※,※awsu※,※chá※,※GB2312※]
润	[※※※※※,※iugg※,※rùn※,※GB2312※]
肉	[※※※※※,※mwwi※,※ròu※,※GB2312※]
康	[※※※※※,※yvii※,※kāng※,※GB2312※]
唯	[※※※※※,※kwyg※,※wéi_wěi※,※GB2312※]
浓	[※※※※※,※ipey※,※nóng※,※GB2312※]
胞	[※※※※※,※eqnn※,※bāo※,※GB2312※]
符	[※※※※※,※twfu※,※fú※,※GB2312※]
雪	[※※※※,※fvf※,※xuě※,※GB2312※]
磁	[※※※※※,※duxx※,※cí※,※GB2312※]
献	[※※※※※,※fmud※,※xiàn※,※GB2312※]
船	[※※※※※,※temk※,※chuán※,※GB2312※]
忙	[※※※※※,※nynn※,※máng※,※GB2312※]
追	[※※※※※,※wnnp※,※zhuī_duī※,※GB2312※]
伊	[※※※※※,※wvtt※,※yī※,※GB2312※]
税	[※※※※※,※tukq※,※shuì_tuàn_tuì_tuō※,※GB2312※]
私	[※※※※,※tcy※,※sī※,※GB2312※]
篇	[※※※※※,※tyna※,※piān※,※GB2312※]
盘	[※※※※※,※telf※,※pán※,※GB2312※]
夏	[※※※※※,※dhtu※,※xià※,※GB2312※]
卡	[※※※※,※hhu※,※kǎ_qiǎ※,※GB2312※]
盖	[※※※※※,※uglf※,※gài_gě_hé※,※GB2312※]
丁	[※※※※,※sgh※,※dīng_zhēng※,※GB2312※]
季	[※※※※,※tbf※,※jì※,※GB2312※]
迎	[※※※※※,※qbpk※,※yíng※,※GB2312※]
予	[※※※※,※cbj※,※yú_yǔ※,※GB2312※]
架	[※※※※※,※lksu※,※jià※,※GB2312※]
阴	[※※※※,※beg※,※yīn※,※GB2312※]
刀	[※※※※,※vnt※,※dāo※,※GB2312※]
阵	[※※※※,※blh※,※zhèn※,※GB2312※]
瓦	[※※※※※,※gnyn※,※wǎ_wà※,※GB2312※]
野	[※※※※※,※jfcb※,※yě※,※GB2312※]
盛	[※※※※※,※dnnl※,※shèng_chéng※,※GB2312※]
氢	[※※※※※,※rnca※,※qīng※,※GB2312※]
削	[※※※※※,※iejh※,※xiāo_xuē※,※GB2312※]
伸	[※※※※※,※wjhh※,※shēn※,※GB2312※]
索	[※※※※※,※fpxi※,※suǒ※,※GB2312※]
旗	[※※※※※,※ytaw※,※qí※,※GB2312※]
忽	[※※※※※,※qrnu※,※hū※,※GB2312※]
访	[※※※※,※yyn※,※fǎng※,※GB2312※]
累	[※※※※※,※lxiu※,※léi_lěi_lèi※,※GB2312※]
燃	[※※※※※,※oqdo※,※rán※,※GB2312※]
虑	[※※※※※,※hani※,※lǜ_bì※,※GB2312※]
迹	[※※※※※,※yopi※,※jì※,※GB2312※]
亦	[※※※※,※you※,※yì※,※GB2312※]
典	[※※※※※,※mawu※,※diǎn※,※GB2312※]
晶	[※※※※※,※jjjf※,※jīng※,※GB2312※]
雄	[※※※※※,※dcwy※,※xióng※,※GB2312※]
泛	[※※※※※,※itpy※,※fàn※,※GB2312※]
谋	[※※※※※,※yafs※,※móu※,※GB2312※]
托	[※※※※※,※rtan※,※tuō※,※GB2312※]
透	[※※※※※,※tepv※,※tòu※,※GB2312※]
横	[※※※※※,※samw※,※héng_hèng_guāng_guàng_huáng_huàng※,※GB2312※]
屋	[※※※※※,※ngcf※,※wū※,※GB2312※]
朱	[※※※※,※rii※,※zhū_shú※,※GB2312※]
惊	[※※※※※,※nyiy※,※jīng_liáng※,※GB2312※]
奋	[※※※※,※dlf※,※fèn_běn_gǎng_kǎng※,※GB2312※]
替	[※※※※※,※fwfj※,※tì※,※GB2312※]
痛	[※※※※※,※ucek※,※tòng※,※GB2312※]
裁	[※※※※※,※faye※,※cái※,※GB2312※]
抽	[※※※※,※rmg※,※chōu※,※GB2312※]
楚	[※※※※※,※ssnh※,※chǔ※,※GB2312※]
避	[※※※※※,※nkup※,※bì※,※GB2312※]
硬	[※※※※※,※dgjq※,※yìng※,※GB2312※]
寨	[※※※※※,※pfjs※,※zhài※,※GB2312※]
床	[※※※※,※ysi※,※chuáng※,※GB2312※]
旁	[※※※※※,※upyb※,※páng_bàng※,※GB2312※]
遗	[※※※※※,※khgp※,※yí_wèi※,※GB2312※]
弟	[※※※※※,※uxht※,※dì_tì_tuí※,※GB2312※]
洗	[※※※※※,※itfq※,※xǐ_xiǎn※,※GB2312※]
幅	[※※※※※,※mhgl※,※fú※,※GB2312※]
毒	[※※※※※,※gxgu※,※dú_dài※,※GB2312※]
顿	[※※※※※,※gbnm※,※dùn_dú※,※GB2312※]
尚	[※※※※※,※imkf※,※shàng※,※GB2312※]
塞	[※※※※※,※pfjf※,※sāi_sài_sè※,※GB2312※]
暴	[※※※※※,※jawi※,※bào_pù※,※GB2312※]
谢	[※※※※※,※ytmf※,※xiè※,※GB2312※]
宝	[※※※※※,※pgyu※,※bǎo※,※GB2312※]
圈	[※※※※※,※ludb※,※quān_juàn_juān※,※GB2312※]
招	[※※※※※,※rvkg※,※zhāo※,※GB2312※]
彩	[※※※※※,※eset※,※cǎi※,※GB2312※]
闻	[※※※※,※ubd※,※wén※,※GB2312※]
胶	[※※※※※,※euqy※,※jiāo_xiáo※,※GB2312※]
残	[※※※※※,※gqgt※,※cán※,※GB2312※]
遭	[※※※※※,※gmap※,※zāo※,※GB2312※]
爷	[※※※※※,※wqbj※,※yé※,※GB2312※]
斜	[※※※※※,※wtuf※,※xié※,※GB2312※]
警	[※※※※※,※aqky※,※jǐng※,※GB2312※]
揭	[※※※※※,※rjqn※,※jiē_qì※,※GB2312※]
鱼	[※※※※,※qgf※,※yú※,※GB2312※]
释	[※※※※※,※toch※,※shì※,※GB2312※]
倾	[※※※※※,※wxdm※,※qīng※,※GB2312※]
潮	[※※※※※,※ifje※,※cháo※,※GB2312※]
贯	[※※※※※,※xfmu※,※guàn※,※GB2312※]
偏	[※※※※※,※wyna※,※piān※,※GB2312※]
摇	[※※※※※,※rerm※,※yáo※,※GB2312※]
监	[※※※※※,※jtyl※,※jiān_jiàn※,※GB2312※]
购	[※※※※※,※mqcy※,※gòu※,※GB2312※]
徐	[※※※※※,※twty※,※xú※,※GB2312※]
付	[※※※※,※wfy※,※fù※,※GB2312※]
灰	[※※※※,※dou※,※huī※,※GB2312※]
园	[※※※※※,※lfqv※,※yuán_wán※,※GB2312※]
摆	[※※※※※,※rlfc※,※bǎi※,※GB2312※]
殊	[※※※※※,※gqri※,※shū※,※GB2312※]
蒸	[※※※※※,※abio※,※zhēng※,※GB2312※]
碎	[※※※※※,※dywf※,※suì※,※GB2312※]
糖	[※※※※※,※oyvk※,※táng※,※GB2312※]
词	[※※※※※,※yngk※,※cí※,※GB2312※]
耗	[※※※※※,※ditn※,※hào※,※GB2312※]
赞	[※※※※※,※tfqm※,※zàn※,※GB2312※]
炮	[※※※※※,※oqnn※,※páo_bāo_pào※,※GB2312※]
吴	[※※※※※,※kgdu※,※wú_tūn※,※GB2312※]
愈	[※※※※※,※wgen※,※yù※,※GB2312※]
堆	[※※※※※,※fwyg※,※duī※,※GB2312※]
骨	[※※※※,※mef※,※gǔ_gū※,※GB2312※]
凯	[※※※※※,※mnmn※,※kǎi※,※GB2312※]
午	[※※※※,※tfj※,※wǔ※,※GB2312※]
桥	[※※※※※,※stdj※,※qiáo※,※GB2312※]
巨	[※※※※,※and※,※jù※,※GB2312※]
救	[※※※※※,※fiyt※,※jiù※,※GB2312※]
荣	[※※※※※,※apsu※,※róng_cè※,※GB2312※]
纷	[※※※※※,※xwvn※,※fēn※,※GB2312※]
秦	[※※※※※,※dwtu※,※qín※,※GB2312※]
订	[※※※※,※ysh※,※dìng※,※GB2312※]
旋	[※※※※※,※ytnh※,※xuán_xuàn※,※GB2312※]
割	[※※※※※,※pdhj※,※gē※,※GB2312※]
侧	[※※※※※,※wmjh※,※cè_zè_zhāi※,※GB2312※]
纤	[※※※※※,※xtfh※,※xiān_qiàn※,※GB2312※]
凡	[※※※※,※myi※,※fán※,※GB2312※]
亡	[※※※※,※ynv※,※wáng_wú※,※GB2312※]
杆	[※※※※,※sfh※,※gān_gǎn※,※GB2312※]
弦	[※※※※※,※xyxy※,※xián※,※GB2312※]
馆	[※※※※※,※qnpn※,※guǎn※,※GB2312※]
恩	[※※※※※,※ldnu※,※ēn※,※GB2312※]
宋	[※※※※,※psu※,※sòng※,※GB2312※]
妇	[※※※※,※vvg※,※fù※,※GB2312※]
吹	[※※※※※,※kqwy※,※chuī※,※GB2312※]
男	[※※※※,※llb※,※nán※,※GB2312※]
版	[※※※※※,※thgc※,※bǎn※,※GB2312※]
禁	[※※※※※,※ssfi※,※jīn_jìn※,※GB2312※]
繁	[※※※※※,※txgi※,※fán_pó※,※GB2312※]
滑	[※※※※※,※imeg※,※huá_gǔ※,※GB2312※]
败	[※※※※,※mty※,※bài※,※GB2312※]
捕	[※※※※※,※rgey※,※bǔ※,※GB2312※]
择	[※※※※※,※rcfh※,※zé_zhái※,※GB2312※]
唐	[※※※※※,※yvhk※,※táng※,※GB2312※]
播	[※※※※※,※rtol※,※bō※,※GB2312※]
爸	[※※※※※,※wqcb※,※bà※,※GB2312※]
泥	[※※※※※,※inxn※,※ní_nì※,※GB2312※]
跳	[※※※※※,※khiq※,※tiào_táo※,※GB2312※]
君	[※※※※※,※vtkd※,※jūn※,※GB2312※]
湾	[※※※※※,※iyox※,※wān※,※GB2312※]
碳	[※※※※※,※dmdo※,※tàn※,※GB2312※]
综	[※※※※※,※xpfi※,※zōng_zèng※,※GB2312※]
废	[※※※※※,※ynty※,※fèi※,※GB2312※]
庄	[※※※※,※yfd※,※zhuāng_péng※,※GB2312※]
吨	[※※※※※,※kgbn※,※dūn_tún_tǔn※,※GB2312※]
库	[※※※※,※ylk※,※kù※,※GB2312※]
睛	[※※※※※,※hgeg※,※jīng※,※GB2312※]
楼	[※※※※※,※sovg※,※lóu※,※GB2312※]
麻	[※※※※※,※yssi※,※má※,※GB2312※]
涉	[※※※※※,※ihit※,※shè※,※GB2312※]
尺	[※※※※,※nyi※,※chǐ_chě※,※GB2312※]
剥	[※※※※※,※vijh※,※bāo_bō_pū※,※GB2312※]
伙	[※※※※,※woy※,※huǒ※,※GB2312※]
麦	[※※※※,※gtu※,※mài※,※GB2312※]
坦	[※※※※※,※fjgg※,※tǎn※,※GB2312※]
嘴	[※※※※※,※khxe※,※zuǐ※,※GB2312※]
鸡	[※※※※※,※cqyg※,※jī※,※GB2312※]
耳	[※※※※※,※bghg※,※ěr※,※GB2312※]
荷	[※※※※※,※awsk※,※hé_hè※,※GB2312※]
赛	[※※※※※,※pfjm※,※sài※,※GB2312※]
肥	[※※※※,※ecn※,※féi※,※GB2312※]
岸	[※※※※※,※mdfj※,※àn※,※GB2312※]
